threshold,precision,recall,f1,fp,fn,total_cost
0.01,0.08928571428571429,1.0,0.1639344262295082,306,0,306.0
0.02,0.11235955056179775,1.0,0.20202020202020202,237,0,237.0
0.03,0.136986301369863,1.0,0.24096385542168672,189,0,189.0
0.04,0.15789473684210525,1.0,0.2727272727272727,160,0,160.0
0.05,0.17751479289940827,1.0,0.3015075376884422,139,0,139.0
0.06,0.20134228187919462,1.0,0.33519553072625696,119,0,119.0
0.07,0.2097902097902098,1.0,0.3468208092485549,113,0,113.0
0.08,0.23076923076923078,1.0,0.375,100,0,100.0
0.09,0.2564102564102564,1.0,0.4081632653061224,87,0,87.0
0.1,0.2702702702702703,1.0,0.4255319148936171,81,0,81.0
0.11,0.30612244897959184,1.0,0.46874999999999994,68,0,68.0
0.12,0.32967032967032966,1.0,0.49586776859504134,61,0,61.0
0.13,0.3448275862068966,1.0,0.5128205128205129,57,0,57.0
0.14,0.3614457831325301,1.0,0.5309734513274336,53,0,53.0
0.15,0.39473684210526316,1.0,0.5660377358490566,46,0,46.0
0.16,0.4225352112676056,1.0,0.5940594059405941,41,0,41.0
0.17,0.45454545454545453,1.0,0.625,36,0,36.0
0.18,0.4918032786885246,1.0,0.6593406593406593,31,0,31.0
0.19,0.5084745762711864,1.0,0.6741573033707865,29,0,29.0
0.2,0.5263157894736842,1.0,0.6896551724137931,27,0,27.0
0.21,0.5357142857142857,1.0,0.6976744186046512,26,0,26.0
0.22,0.5454545454545454,1.0,0.7058823529411764,25,0,25.0
0.23,0.5882352941176471,1.0,0.7407407407407407,21,0,21.0
0.24,0.625,1.0,0.7692307692307693,18,0,18.0
0.25,0.6382978723404256,1.0,0.7792207792207793,17,0,17.0
0.26,0.6521739130434783,1.0,0.7894736842105263,16,0,16.0
0.27,0.6976744186046512,1.0,0.8219178082191781,13,0,13.0
0.28,0.7317073170731707,1.0,0.8450704225352113,11,0,11.0
0.29,0.7692307692307693,1.0,0.8695652173913044,9,0,9.0
0.3,0.7692307692307693,1.0,0.8695652173913044,9,0,9.0
0.31,0.7631578947368421,0.9666666666666667,0.8529411764705883,9,1,19.0
0.32,0.7631578947368421,0.9666666666666667,0.8529411764705883,9,1,19.0
0.33,0.7837837837837838,0.9666666666666667,0.8656716417910447,8,1,18.0
0.34,0.7837837837837838,0.9666666666666667,0.8656716417910447,8,1,18.0
0.35,0.8181818181818182,0.9,0.8571428571428572,6,3,36.0
0.36,0.8709677419354839,0.9,0.8852459016393444,4,3,34.0
0.37,0.8666666666666667,0.8666666666666667,0.8666666666666667,4,4,44.0
0.38,0.8666666666666667,0.8666666666666667,0.8666666666666667,4,4,44.0
0.39,0.8666666666666667,0.8666666666666667,0.8666666666666667,4,4,44.0
0.4,0.9285714285714286,0.8666666666666667,0.896551724137931,2,4,42.0
0.41,0.9583333333333334,0.7666666666666667,0.8518518518518519,1,7,71.0
0.42,0.9565217391304348,0.7333333333333333,0.8301886792452831,1,8,81.0
0.43,0.9565217391304348,0.7333333333333333,0.8301886792452831,1,8,81.0
0.44,0.9565217391304348,0.7333333333333333,0.8301886792452831,1,8,81.0
0.45,0.9565217391304348,0.7333333333333333,0.8301886792452831,1,8,81.0
0.46,0.9545454545454546,0.7,0.8076923076923077,1,9,91.0
0.47,1.0,0.6666666666666666,0.8,0,10,100.0
0.48,1.0,0.6666666666666666,0.8,0,10,100.0
0.49,1.0,0.6666666666666666,0.8,0,10,100.0
0.5,1.0,0.6666666666666666,0.8,0,10,100.0
0.51,1.0,0.6666666666666666,0.8,0,10,100.0
0.52,1.0,0.6666666666666666,0.8,0,10,100.0
0.53,1.0,0.6333333333333333,0.7755102040816326,0,11,110.0
0.54,1.0,0.6,0.7499999999999999,0,12,120.0
0.55,1.0,0.6,0.7499999999999999,0,12,120.0
0.56,1.0,0.5666666666666667,0.7234042553191489,0,13,130.0
0.57,1.0,0.5666666666666667,0.7234042553191489,0,13,130.0
0.58,1.0,0.5666666666666667,0.7234042553191489,0,13,130.0
0.59,1.0,0.5333333333333333,0.6956521739130436,0,14,140.0
0.6,1.0,0.5,0.6666666666666666,0,15,150.0
0.61,1.0,0.5,0.6666666666666666,0,15,150.0
0.62,1.0,0.4666666666666667,0.6363636363636364,0,16,160.0
0.63,1.0,0.4666666666666667,0.6363636363636364,0,16,160.0
0.64,1.0,0.43333333333333335,0.6046511627906976,0,17,170.0
0.65,1.0,0.43333333333333335,0.6046511627906976,0,17,170.0
0.66,1.0,0.43333333333333335,0.6046511627906976,0,17,170.0
0.67,1.0,0.43333333333333335,0.6046511627906976,0,17,170.0
0.68,1.0,0.43333333333333335,0.6046511627906976,0,17,170.0
0.69,1.0,0.43333333333333335,0.6046511627906976,0,17,170.0
0.7,1.0,0.4,0.5714285714285715,0,18,180.0
0.71,1.0,0.4,0.5714285714285715,0,18,180.0
0.72,1.0,0.3333333333333333,0.5,0,20,200.0
0.73,1.0,0.3,0.4615384615384615,0,21,210.0
0.74,1.0,0.26666666666666666,0.4210526315789474,0,22,220.0
0.75,1.0,0.23333333333333334,0.37837837837837834,0,23,230.0
0.76,1.0,0.23333333333333334,0.37837837837837834,0,23,230.0
0.77,1.0,0.2,0.33333333333333337,0,24,240.0
0.78,1.0,0.2,0.33333333333333337,0,24,240.0
0.79,1.0,0.2,0.33333333333333337,0,24,240.0
0.8,1.0,0.2,0.33333333333333337,0,24,240.0
0.81,1.0,0.2,0.33333333333333337,0,24,240.0
0.82,1.0,0.2,0.33333333333333337,0,24,240.0
0.83,1.0,0.16666666666666666,0.2857142857142857,0,25,250.0
0.84,1.0,0.16666666666666666,0.2857142857142857,0,25,250.0
0.85,1.0,0.13333333333333333,0.23529411764705882,0,26,260.0
0.86,1.0,0.13333333333333333,0.23529411764705882,0,26,260.0
0.87,1.0,0.1,0.18181818181818182,0,27,270.0
0.88,1.0,0.1,0.18181818181818182,0,27,270.0
0.89,1.0,0.1,0.18181818181818182,0,27,270.0
0.9,1.0,0.1,0.18181818181818182,0,27,270.0
0.91,1.0,0.06666666666666667,0.125,0,28,280.0
0.92,0.0,0.0,0.0,0,30,300.0
0.93,0.0,0.0,0.0,0,30,300.0
0.94,0.0,0.0,0.0,0,30,300.0
0.95,0.0,0.0,0.0,0,30,300.0
0.96,0.0,0.0,0.0,0,30,300.0
0.97,0.0,0.0,0.0,0,30,300.0
0.98,0.0,0.0,0.0,0,30,300.0
0.99,0.0,0.0,0.0,0,30,300.0
